,EpochLoss
0,2.8836614718803992
1,2.1472893403126645
2,1.627112810428326
3,1.2793251551114595
4,1.0477809585057771
5,0.9052127416317279
6,0.8179444578977731
7,0.7660485139259925
8,0.7352976294664236
9,0.7175124287605286
10,0.7068296533364516
11,0.7012053315456097
12,0.6976077419060928
13,0.6956666983090914
14,0.6946073036927444
15,0.6939669572390043
16,0.693595826625824
17,0.6934016851278452
18,0.6933013842656062
19,0.693237997018374
20,0.6931938758263221
21,0.6931746006011963
22,0.6931617214129522
23,0.6931558297230647
24,0.6931515748684223
25,0.6931504973998437
26,0.6931485808812655
27,0.6931480719492986
28,0.6931478151908288
29,0.6931470724252554
30,0.693147219144381
31,0.6931479206452003
32,0.6931473291837252
33,0.6931472558241624
34,0.6931472283143264
35,0.6931472604091351
36,0.6931472787490258
37,0.6931472649941077
38,0.6931472741640531
39,0.6931472787490258
40,0.6931472879189712
41,0.6931473200137799
42,0.6931473383536706
43,0.693147347523616
44,0.6931473566935613
45,0.6931473521085886
46,0.6931473566935613
47,0.6931473566935613
48,0.6931473566935613
49,0.6931473566935613
50,0.6931473566935613
51,0.6931473566935613
52,0.6931473566935613
53,0.6931473566935613
54,0.6931473566935613
55,0.6931473566935613
56,0.6931473566935613
57,0.6931473566935613
58,0.6931473566935613
59,0.6931473566935613
60,0.6931473566935613
61,0.6931473566935613
62,0.6931473566935613
63,0.6931473566935613
64,0.6931473566935613
65,0.6931473566935613
66,0.6931473566935613
67,0.6931473566935613
68,0.6931473566935613
69,0.6931473566935613
70,0.6931473566935613
71,0.6931473566935613
72,0.6931473566935613
73,0.6931473566935613
74,0.6931473566935613
75,0.6931473566935613
76,0.6931473566935613
77,0.6931473566935613
78,0.6931473566935613
79,0.6931473566935613
80,0.6931473566935613
81,0.6931473566935613
82,0.6931473566935613
83,0.6931473566935613
84,0.6931473566935613
85,0.6931473566935613
86,0.6931473566935613
87,0.6931473566935613
88,0.6931473566935613
89,0.6931473566935613
90,0.6931473566935613
91,0.6931473566935613
92,0.6931473566935613
93,0.6931473566935613
94,0.6931473566935613
95,0.6931473566935613
96,0.6931473566935613
97,0.6931473566935613
98,0.6931473566935613
99,0.6931473566935613
100,0.6931473566935613
101,0.6931473566935613
102,0.6931473566935613
103,0.6931473566935613
104,0.6931473566935613
105,0.6931473566935613
106,0.6931473566935613
107,0.6931473566935613
108,0.6931473566935613
109,0.6931473566935613
110,0.6931473566935613
111,0.6931473566935613
112,0.6931473566935613
113,0.6931473566935613
114,0.6931473566935613
115,0.6931473566935613
116,0.6931473566935613
117,0.6931473566935613
118,0.6931473566935613
119,0.6931473566935613
120,0.6931473566935613
121,0.6931473566935613
122,0.6931473566935613
123,0.6931473566935613
124,0.6931473566935613
125,0.6931473566935613
126,0.6931473566935613
127,0.6931473566935613
128,0.6931473566935613
129,0.6931473566935613
130,0.6931473566935613
131,0.6931473566935613
132,0.6931473566935613
133,0.6931473566935613
134,0.6931473566935613
135,0.6931473566935613
136,0.6931473566935613
137,0.6931473566935613
138,0.6931473566935613
139,0.6931473566935613
140,0.6931473566935613
141,0.6931473566935613
142,0.6931473566935613
143,0.6931473566935613
144,0.6931473566935613
145,0.6931473566935613
146,0.6931473566935613
147,0.6931473566935613
148,0.6931473566935613
149,0.6931473566935613
